year_id,location_name,mean_final,lower_final,upper_final,proportion,age_group_id,metric_id,measure_id,age_group_name,metric_name
2000,"Central Europe, Eastern Europe, and Central Asia",5.104559249,4.704463117,5.613278418,,27,3,6,age-standardized,rate space
2000,Global,4.477315281,3.71983551,5.29690717,,27,3,6,age-standardized,rate space
2000,High-income,6.679246047,5.671993947,8.006264031,,27,3,6,age-standardized,rate space
2000,Latin America and Caribbean,4.452840555,3.974377008,5.121906301,,27,3,6,age-standardized,rate space
2000,North Africa and Middle East,6.153671479,4.57838861,8.450950103,,27,3,6,age-standardized,rate space
2000,South Asia,1.892002277,1.377326795,2.44799558,,27,3,6,age-standardized,rate space
2000,"Southeast Asia, East Asia, and Oceania",4.676488039,3.30122371,5.768157739,,27,3,6,age-standardized,rate space
2000,Sub-Saharan Africa,1.332344417,0.884802775,1.740217743,,27,3,6,age-standardized,rate space
2001,"Central Europe, Eastern Europe, and Central Asia",24146.14213,22417.46076,26368.10011,9.59453168,22,1,6,all ages,count space
2001,Global,251665.6668,210925.9373,301486.513,100,22,1,6,all ages,count space
2001,High-income,80152.94409,69580.77677,95890.65953,31.84897849,22,1,6,all ages,count space
2001,Latin America and Caribbean,18091.06063,16087.33863,21157.89078,7.188529473,22,1,6,all ages,count space
2001,North Africa and Middle East,20011.06162,15094.77178,26452.30872,7.951446803,22,1,6,all ages,count space
2001,South Asia,21564.55629,15982.60483,27436.39811,8.568731909,22,1,6,all ages,count space
2001,"Southeast Asia, East Asia, and Oceania",80012.10004,56600.23198,97990.52325,31.79301375,22,1,6,all ages,count space
2001,Sub-Saharan Africa,7687.801991,5379.640228,10301.90031,3.054767895,22,1,6,all ages,count space
2001,"Central Europe, Eastern Europe, and Central Asia",5.188599613,4.785890773,5.711045903,,27,3,6,age-standardized,rate space
2001,Global,4.471426336,3.771381518,5.325518269,,27,3,6,age-standardized,rate space
2001,High-income,6.67034283,5.725715496,8.108097833,,27,3,6,age-standardized,rate space
2001,Latin America and Caribbean,4.528957492,4.062617631,5.255042082,,27,3,6,age-standardized,rate space
2001,North Africa and Middle East,6.215462809,4.681525398,8.396230781,,27,3,6,age-standardized,rate space
2001,South Asia,1.889991405,1.391968264,2.404033783,,27,3,6,age-standardized,rate space
2001,"Southeast Asia, East Asia, and Oceania",4.658061391,3.295516312,5.709103866,,27,3,6,age-standardized,rate space
2001,Sub-Saharan Africa,1.31806095,0.872573914,1.753481229,,27,3,6,age-standardized,rate space
2002,"Central Europe, Eastern Europe, and Central Asia",24776.6459,22967.86158,27034.7359,9.665071222,22,1,6,all ages,count space
2002,Global,256352.4399,217085.9414,309222.7061,100,22,1,6,all ages,count space
2002,High-income,81519.90937,71604.68022,99977.25835,31.79993504,22,1,6,all ages,count space
2002,Latin America and Caribbean,18658.57073,16622.88239,21806.60767,7.278483768,22,1,6,all ages,count space
2002,North Africa and Middle East,20616.84376,15541.92116,27197.54247,8.042382499,22,1,6,all ages,count space
2002,South Asia,21913.02652,15992.49981,28017.85135,8.548007785,22,1,6,all ages,count space
2002,"Southeast Asia, East Asia, and Oceania",81017.46428,57947.06782,100258.7114,31.60393726,22,1,6,all ages,count space
2002,Sub-Saharan Africa,7849.979341,5501.124378,10590.31405,3.062182418,22,1,6,all ages,count space
2002,"Central Europe, Eastern Europe, and Central Asia",5.284749348,4.876101356,5.814413378,,27,3,6,age-standardized,rate space
2002,Global,4.475171466,3.80161053,5.369527726,,27,3,6,age-standardized,rate space
2002,High-income,6.680928407,5.768280492,8.346074754,,27,3,6,age-standardized,rate space
2002,Latin America and Caribbean,4.571948735,4.099638733,5.298699783,,27,3,6,age-standardized,rate space
2002,North Africa and Middle East,6.275322933,4.758552734,8.293249836,,27,3,6,age-standardized,rate space
2002,South Asia,1.887765954,1.375139958,2.401981706,,27,3,6,age-standardized,rate space
2002,"Southeast Asia, East Asia, and Oceania",4.639581877,3.311786694,5.744890687,,27,3,6,age-standardized,rate space
2002,Sub-Saharan Africa,1.31615034,0.872365716,1.751662872,,27,3,6,age-standardized,rate space
2003,"Central Europe, Eastern Europe, and Central Asia",25307.20294,23501.52257,27572.00586,9.705990713,22,1,6,all ages,count space
2003,Global,260737.9678,225946.0802,312312.4325,100,22,1,6,all ages,count space
2003,High-income,82488.41161,71590.43587,99041.49807,31.63651704,22,1,6,all ages,count space
2003,Latin America and Caribbean,19337.04863,17223.74721,22657.56163,7.416276498,22,1,6,all ages,count space
2003,North Africa and Middle East,21389.37018,16153.604,28162.7924,8.20339683,22,1,6,all ages,count space
2003,South Asia,22124.52499,15971.90764,28467.21003,8.485348406,22,1,6,all ages,count space
2003,"Southeast Asia, East Asia, and Oceania",82183.0434,60437.28366,100867.8121,31.51940015,22,1,6,all ages,count space
2003,Sub-Saharan Africa,7908.366042,5523.293133,10699.89455,3.033070369,22,1,6,all ages,count space
2003,"Central Europe, Eastern Europe, and Central Asia",5.367084034,4.951925364,5.903871788,,27,3,6,age-standardized,rate space
2003,Global,4.470335342,3.88057231,5.318772797,,27,3,6,age-standardized,rate space
2003,High-income,6.656360122,5.715950777,8.145610722,,27,3,6,age-standardized,rate space
2003,Latin America and Caribbean,4.634948388,4.155393088,5.39211256,,27,3,6,age-standardized,rate space
2003,North Africa and Middle East,6.360633514,4.809810449,8.323176319,,27,3,6,age-standardized,rate space
2003,South Asia,1.868989829,1.350584711,2.394009934,,27,3,6,age-standardized,rate space
2003,"Southeast Asia, East Asia, and Oceania",4.628042134,3.39836105,5.683138358,,27,3,6,age-standardized,rate space
2003,Sub-Saharan Africa,1.300247464,0.870671129,1.722269565,,27,3,6,age-standardized,rate space
2004,"Central Europe, Eastern Europe, and Central Asia",25823.95606,24004.53377,27988.26896,9.738996002,22,1,6,all ages,count space
2004,Global,265160.3518,229977.614,317350.3237,100,22,1,6,all ages,count space
2004,High-income,82931.25324,71587.80874,100442.8383,31.27588747,22,1,6,all ages,count space
2004,Latin America and Caribbean,20050.92206,17985.84301,23467.33836,7.561810024,22,1,6,all ages,count space
2004,North Africa and Middle East,21982.68153,16416.40012,28874.79126,8.290335027,22,1,6,all ages,count space
2004,South Asia,22381.00768,16115.7842,29025.67862,8.440555883,22,1,6,all ages,count space
2004,"Southeast Asia, East Asia, and Oceania",83927.94917,62591.42973,104333.2172,31.65177169,22,1,6,all ages,count space
2004,Sub-Saharan Africa,8062.582081,5641.095228,10812.267,3.040643907,22,1,6,all ages,count space
2004,"Central Europe, Eastern Europe, and Central Asia",5.458601078,5.039385969,5.977356802,,27,3,6,age-standardized,rate space
2004,Global,4.463115321,3.879857776,5.330065873,,27,3,6,age-standardized,rate space
2004,High-income,6.600533541,5.59493762,8.13793166,,27,3,6,age-standardized,rate space
2004,Latin America and Caribbean,4.704065124,4.238645908,5.470610633,,27,3,6,age-standardized,rate space
2004,North Africa and Middle East,6.37800969,4.824107725,8.292214417,,27,3,6,age-standardized,rate space
2004,South Asia,1.845520875,1.333387721,2.408224722,,27,3,6,age-standardized,rate space
2004,"Southeast Asia, East Asia, and Oceania",4.642784159,3.466916145,5.756827614,,27,3,6,age-standardized,rate space
2004,Sub-Saharan Africa,1.291931009,0.86940417,1.708971711,,27,3,6,age-standardized,rate space
2005,"Central Europe, Eastern Europe, and Central Asia",26707.75883,24795.13943,28892.85714,9.863337133,22,1,6,all ages,count space
2005,Global,270778.1197,235265.2477,321088.075,100,22,1,6,all ages,count space
2005,High-income,84803.66837,73745.84261,102385.448,31.31850847,22,1,6,all ages,count space
2005,Latin America and Caribbean,20437.92685,18228.89022,23870.91452,7.5478502,22,1,6,all ages,count space
2005,North Africa and Middle East,22699.84383,16872.06083,29323.63594,8.383189844,22,1,6,all ages,count space
2005,South Asia,22928.17636,16449.23799,29774.41416,8.46751443,22,1,6,all ages,count space
2005,"Southeast Asia, East Asia, and Oceania",84940.39415,65831.82293,106657.7647,31.36900213,22,1,6,all ages,count space
2005,Sub-Saharan Africa,8260.351323,5793.449658,10936.0959,3.050597785,22,1,6,all ages,count space
2005,"Central Europe, Eastern Europe, and Central Asia",5.612553452,5.175612999,6.150229196,,27,3,6,age-standardized,rate space
2005,Global,4.471931902,3.889320191,5.285572812,,27,3,6,age-standardized,rate space
2005,High-income,6.636071897,5.679922822,8.120106497,,27,3,6,age-standardized,rate space
2005,Latin America and Caribbean,4.694814868,4.206490368,5.429716893,,27,3,6,age-standardized,rate space
2005,North Africa and Middle East,6.428894793,4.856600875,8.365292933,,27,3,6,age-standardized,rate space
2005,South Asia,1.84898185,1.336174534,2.407467923,,27,3,6,age-standardized,rate space
2005,"Southeast Asia, East Asia, and Oceania",4.614243242,3.580615961,5.792425453,,27,3,6,age-standardized,rate space
2005,Sub-Saharan Africa,1.291683885,0.885728295,1.701469873,,27,3,6,age-standardized,rate space
2006,"Central Europe, Eastern Europe, and Central Asia",26813.38404,24877.03442,29167.83591,9.777059472,22,1,6,all ages,count space
2006,Global,274247.9384,235344.8241,326656.194,100,22,1,6,all ages,count space
2006,High-income,85967.52061,73778.85343,103678.3509,31.34664242,22,1,6,all ages,count space
2006,Latin America and Caribbean,20767.301,18536.6696,23989.13147,7.572454735,22,1,6,all ages,count space
2006,North Africa and Middle East,23417.99644,17399.27868,30140.89698,8.538987231,22,1,6,all ages,count space
2006,South Asia,23583.1042,16505.07909,30862.25969,8.599191061,22,1,6,all ages,count space
2006,"Southeast Asia, East Asia, and Oceania",85194.24508,68719.9613,108300.6754,31.06468022,22,1,6,all ages,count space
2006,Sub-Saharan Africa,8504.387039,5941.308971,11351.61721,3.100984856,22,1,6,all ages,count space
2006,"Central Europe, Eastern Europe, and Central Asia",5.616603865,5.179623106,6.154087415,,27,3,6,age-standardized,rate space
2006,Global,4.440866403,3.826678152,5.271362787,,27,3,6,age-standardized,rate space
2006,High-income,6.642777087,5.617656688,8.186938134,,27,3,6,age-standardized,rate space
2006,Latin America and Caribbean,4.6686545,4.19487497,5.336764127,,27,3,6,age-standardized,rate space
2006,North Africa and Middle East,6.479403491,4.873617427,8.483055287,,27,3,6,age-standardized,rate space
2006,South Asia,1.861115363,1.319072514,2.444342555,,27,3,6,age-standardized,rate space
2006,"Southeast Asia, East Asia, and Oceania",4.532599612,3.656366209,5.777918233,,27,3,6,age-standardized,rate space
2006,Sub-Saharan Africa,1.300332193,0.909575551,1.715318908,,27,3,6,age-standardized,rate space
